City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Sahagun,CO,2022-01-19 00:18:06,8.9462,-75.4427,78.04,84,81,11.77
218,Karratha,AU,2022-01-19 00:18:07,-20.7377,116.8463,82.04,63,14,2.64
219,Sao Jose Da Coroa Grande,BR,2022-01-19 00:18:07,-8.8978,-35.1478,80.19,67,21,8.79
220,Antequera,ES,2022-01-19 00:18:07,37.0194,-4.5612,47.91,84,7,4.32
221,Perth,AU,2022-01-19 00:17:52,-31.9333,115.8333,91.02,28,0,14.97
222,Tiksi,RU,2022-01-19 00:18:08,71.6872,128.8694,0.5,75,100,16.37
223,Partizanskoye,RU,2022-01-19 00:18:08,55.5006,94.39,16.63,97,100,3.15
224,Mutsu,JP,2022-01-19 00:18:09,41.2894,141.2169,28.72,70,34,3.83
225,Salmas,IR,2022-01-19 00:18:09,38.1973,44.7653,5.99,75,18,5.86
226,Shingu,JP,2022-01-19 00:18:10,33.7333,135.9833,40.19,55,4,4.54
227,Bengkulu,ID,2022-01-19 00:18:10,-3.8004,102.2655,74.48,91,98,3.76
228,Moyale,KE,2022-01-19 00:18:11,3.5167,39.0584,68.92,64,55,3.83
229,Waddan,LY,2022-01-19 00:18:11,29.1614,16.139,48.67,83,3,7.29
230,Gimli,CA,2022-01-19 00:18:11,50.6336,-96.9907,0.12,71,100,21.85
231,Acapulco,MX,2022-01-19 00:17:06,16.8634,-99.8901,82.22,69,40,4.61
232,Correntina,BR,2022-01-19 00:18:12,-13.3433,-44.6367,69.12,76,23,3.15
233,Torbay,CA,2022-01-19 00:15:05,47.6666,-52.7314,44.28,95,100,35.68
234,Aranos,NA,2022-01-19 00:18:13,-24.1333,19.1167,68.83,78,96,17.45
235,Altagracia De Orituco,VE,2022-01-19 00:19:13,9.8601,-66.3814,72.16,81,17,6.82
236,Itoman,JP,2022-01-19 00:19:14,26.1247,127.6694,59.02,77,75,4.61
237,Nanakuli,US,2022-01-19 00:19:14,21.3906,-158.1547,82.04,65,0,8.05
238,Muros,ES,2022-01-19 00:19:14,42.7762,-9.0603,49.23,93,0,6.98
239,Khorinsk,RU,2022-01-19 00:19:15,52.1657,109.7726,-2.97,90,100,2.3
240,Mamallapuram,IN,2022-01-19 00:19:15,12.6264,80.1722,74.05,77,65,5.46
241,Korem,ET,2022-01-19 00:19:15,12.5058,39.5228,50.18,91,43,1.16
242,Chuy,UY,2022-01-19 00:19:16,-33.6971,-53.4616,71.38,93,100,13.82
243,Sayyan,YE,2022-01-19 00:19:16,15.1718,44.3244,53.1,72,10,3.69
244,Nueva Loja,EC,2022-01-19 00:19:17,0.0847,-76.8828,72.54,96,100,2.8
245,Kajaani,FI,2022-01-19 00:19:17,64.2273,27.7285,30.25,93,100,10.36
246,Iqaluit,CA,2022-01-19 00:19:18,63.7506,-68.5145,-11.31,76,100,28.99
247,San Patricio,US,2022-01-19 00:19:18,28.017,-97.5169,72.01,68,29,13.94
248,Caravelas,BR,2022-01-19 00:19:19,-17.7125,-39.2481,76.87,89,72,5.12
249,Kazachinskoye,RU,2022-01-19 00:19:19,57.6953,93.2761,-3.44,100,46,3.6
250,Alot,IN,2022-01-19 00:19:19,23.7667,75.55,53.29,49,1,5.86
251,Cochabamba,BO,2022-01-19 00:17:15,-17.3895,-66.1568,64.2,63,100,3.44
252,Klaksvik,FO,2022-01-19 00:19:20,62.2266,-6.589,41.92,69,100,28.07
253,Ribeira Grande,PT,2022-01-19 00:19:20,38.5167,-28.7,59.72,78,95,2.51
254,Cidreira,BR,2022-01-19 00:19:21,-30.1811,-50.2056,77.59,80,100,5.97
255,Saldanha,ZA,2022-01-19 00:19:21,-33.0117,17.9442,63.43,81,47,11.97
256,Villarrica,PY,2022-01-19 00:19:22,-25.75,-56.4333,90.93,25,87,3.47
257,Laureles,US,2022-01-19 00:19:22,26.1092,-97.4941,74.1,68,40,7.0
258,Vila,PT,2022-01-19 00:19:23,42.0304,-8.1588,40.08,81,0,3.98
259,Wajir,KE,2022-01-19 00:19:23,1.7471,40.0573,80.56,56,95,8.43
260,Sitka,US,2022-01-19 00:19:24,57.0531,-135.33,35.49,80,40,10.36
